Wall time,Step,Value
1625740038.488617,0,0.27129998803138733
1625740050.064842,1,0.3312999904155731
1625740061.536329,2,0.3467999994754791
1625740073.164441,3,0.3576500117778778
1625740085.293816,4,0.3722749948501587
1625740097.524328,5,0.3862749934196472
1625740109.76047,6,0.40139999985694885
1625740122.227884,7,0.41247498989105225
1625740134.749403,8,0.4336000084877014
1625740147.411872,9,0.4448249936103821
1625740160.262007,10,0.45787501335144043
1625740173.567727,11,0.5206000208854675
1625740186.653621,12,0.5324000120162964
1625740199.678237,13,0.5504500269889832
1625740212.753807,14,0.5631499886512756
1625740225.919652,15,0.5729249715805054
1625740239.011835,16,0.5767750144004822
1625740252.073642,17,0.6186500191688538
1625740265.224345,18,0.6233999729156494
1625740278.906354,19,0.6262999773025513
1625740292.161053,20,0.6298249959945679
1625740305.252102,21,0.6386250257492065
1625740318.362939,22,0.6411749720573425
1625740331.596552,23,0.6437000036239624
1625740344.696478,24,0.644599974155426
1625740357.894458,25,0.6474000215530396
1625740371.168594,26,0.6743999719619751
1625740384.483001,27,0.6736249923706055
1625740397.682533,28,0.6763749718666077
1625740410.971686,29,0.6781749725341797
1625740424.222818,30,0.681725025177002
1625740437.520816,31,0.6812499761581421
1625740450.857065,32,0.6818749904632568
1625740463.924955,33,0.684374988079071
1625740477.200847,34,0.6863250136375427
1625740490.287774,35,0.6837499737739563
1625740503.457291,36,0.685575008392334
1625740516.939462,37,0.6870250105857849
1625740531.050976,38,0.7020000219345093
1625740544.702318,39,0.7056249976158142
1625740558.547424,40,0.706375002861023
1625740572.761157,41,0.708175003528595
1625740586.399576,42,0.7075499892234802
1625740599.429441,43,0.7109000086784363
1625740612.490882,44,0.7099999785423279
1625740625.763581,45,0.7113000154495239
1625740638.930975,46,0.7111750245094299
1625740652.178156,47,0.7216500043869019
1625740665.581731,48,0.7234500050544739
1625740679.268207,49,0.7248749732971191
1625740692.630504,50,0.722350001335144
1625740705.69146,51,0.7246500253677368
1625740719.054381,52,0.7269750237464905
1625740732.445841,53,0.7263500094413757
1625740745.85091,54,0.7276250123977661
1625740759.798717,55,0.729200005531311
1625740773.660164,56,0.7278500199317932
1625740787.678984,57,0.7294999957084656
1625740801.52716,58,0.7286999821662903
1625740815.239478,59,0.7317000031471252
1625740828.431849,60,0.7303749918937683
1625740841.673864,61,0.7329000234603882
1625740855.082246,62,0.7344250082969666
1625740868.362306,63,0.7345499992370605
1625740881.815216,64,0.7320500016212463
1625740895.462314,65,0.7415249943733215
1625740908.721976,66,0.7409499883651733
1625740922.318278,67,0.7408750057220459
1625740935.902548,68,0.742900013923645
1625740949.324355,69,0.7427999973297119
1625740962.86,70,0.7438250184059143
1625740976.309514,71,0.7452999949455261
1625740989.547863,72,0.7439000010490417
1625741002.992761,73,0.7436749935150146
1625741016.237738,74,0.7455750107765198
1625741030.046071,75,0.7460500001907349
1625741043.450522,76,0.7486500144004822
1625741056.67694,77,0.7462249994277954
1625741070.069013,78,0.7492250204086304
1625741083.508677,79,0.7523000240325928
1625741097.567992,80,0.7524750232696533
1625741111.150469,81,0.7522000074386597
1625741124.772044,82,0.7530500292778015
1625741138.739783,83,0.7547500133514404
1625741152.115807,84,0.7548499703407288
1625741165.999246,85,0.7554749846458435
1625741179.767616,86,0.7540500164031982
1625741193.129749,87,0.7560999989509583
1625741206.494137,88,0.7537000179290771
1625741219.98933,89,0.7566499710083008
1625741233.337524,90,0.756850004196167
1625741247.073379,91,0.7570499777793884
1625741260.942184,92,0.757099986076355
1625741274.356815,93,0.7582749724388123
1625741287.691147,94,0.7566499710083008
1625741301.446658,95,0.7604249715805054
1625741315.141241,96,0.7578250169754028
1625741328.919781,97,0.7608000040054321
1625741343.009482,98,0.7588250041007996
1625741356.627408,99,0.7613999843597412
1625741370.568438,100,0.7604749798774719
1625741383.787177,101,0.7618749737739563
1625741397.959971,102,0.7625250220298767
1625741411.640898,103,0.7622249722480774
1625741425.246197,104,0.7611749768257141
1625741439.067981,105,0.7624250054359436
1625741453.062717,106,0.7611250281333923
1625741466.963483,107,0.7628499865531921
1625741480.602769,108,0.7626500129699707
1625741494.342905,109,0.7632250189781189
1625741507.751961,110,0.7634249925613403
1625741521.140324,111,0.7618250250816345
1625741534.600696,112,0.7634000182151794
1625741548.058502,113,0.7619749903678894
1625741561.341005,114,0.76357501745224
1625741574.792346,115,0.7644500136375427
1625741588.028873,116,0.7651749849319458
1625741601.286204,117,0.7637500166893005
1625741614.550855,118,0.7625749707221985
1625741628.230577,119,0.7668750286102295
1625741642.156821,120,0.7663750052452087
1625741656.206083,121,0.7662749886512756
1625741669.976276,122,0.7658500075340271
1625741683.84545,123,0.7661749720573425
1625741697.236488,124,0.7665249705314636
1625741710.531385,125,0.7664750218391418
1625741723.778077,126,0.7662500143051147
1625741737.197782,127,0.7660499811172485
1625741750.6912,128,0.7662500143051147
1625741764.242371,129,0.7677000164985657
1625741777.923767,130,0.7675250172615051
1625741791.411163,131,0.7674750089645386
1625741804.908303,132,0.7666000127792358
1625741818.19369,133,0.767300009727478
1625741831.678743,134,0.7676249742507935
1625741845.994023,135,0.76767498254776
1625741859.962142,136,0.7668499946594238
1625741873.356331,137,0.76767498254776
1625741887.236184,138,0.7692999839782715
1625741901.202645,139,0.7666500210762024
1625741914.58959,140,0.7689999938011169
1625741928.60301,141,0.7684749960899353
1625741941.85181,142,0.7687749862670898
1625741955.123138,143,0.7684000134468079
1625741968.562724,144,0.7672250270843506
1625741981.764236,145,0.7684249877929688
1625741995.311891,146,0.7699999809265137
1625742008.64967,147,0.7697499990463257
1625742022.025703,148,0.7694000005722046
1625742035.759861,149,0.767300009727478
1625742049.567333,150,0.7700999975204468
1625742063.118745,151,0.7706000208854675
1625742076.526781,152,0.7694249749183655
1625742089.902168,153,0.7710250020027161
1625742103.571343,154,0.7692499756813049
1625742117.077802,155,0.7700999975204468
1625742130.42655,156,0.7692750096321106
1625742143.973536,157,0.7705749869346619
1625742157.740604,158,0.7691500186920166
1625742171.155306,159,0.7696750164031982
1625742184.654151,160,0.7694249749183655
1625742198.0283,161,0.7694500088691711
1625742211.449654,162,0.7736499905586243
1625742224.911768,163,0.7701500058174133
1625742238.350485,164,0.7712500095367432
1625742251.70898,165,0.7718999981880188
1625742265.070515,166,0.7686750292778015
1625742278.84796,167,0.7702249884605408
1625742293.118206,168,0.7709000110626221
1625742307.078791,169,0.7705000042915344
1625742320.64281,170,0.7717999815940857
1625742334.353919,171,0.7717999815940857
1625742347.978865,172,0.7705000042915344
1625742361.619118,173,0.7709500193595886
1625742375.306276,174,0.7713000178337097
